value,lat,lon,desc
1,38.1537094,-78.842453,Crimora
1,38.1127892,-76.8000183,Westmoreland
1,38.0991402,-77.1345978,Supply
1,38.0509911,-78.0749664,Trevilians
1,38.0505791,-79.7869263,Warm Springs
1,38.0167389,-77.5194092,Ladysmith
1,38.0107307,-77.907959,Mineral
1,37.9716301,-78.2187271,Zion Crossroads
1,37.9583397,-76.7571869,Warsaw
1,37.9406586,-78.2451401,Troy
1,37.9400101,-77.6518707,Beaverdam
1,37.9397812,-78.6374207,North Garden
1,37.9348793,-77.4732437,Ruther Glen
1,37.9347687,-75.3749695,Chincoteague
1,37.8873291,-78.8808365,Nellysford
1,37.886219,-78.8972626,Wintergreen
1,37.8293304,-78.7364273,Faber
1,37.8289795,-78.6077194,Esmont
1,37.8283348,-76.9449997,Miller's Tavern
1,37.814209,-76.3783493,Wicomico Church
1,37.7975998,-78.4873962,Scottsville
1,37.7935295,-79.995903,Covington
1,37.7927513,-78.6994019,Schuyler
1,37.7822113,-75.6539993,Parksley
1,37.7737999,-77.1117477,Aylett
1,37.7628593,-78.2626038,Fork Union
1,37.7588501,-77.4793396,Ashland
1,37.7219582,-77.9164124,Goochland
1,37.7176018,-79.0637589,Lowesville
1,37.6674309,-78.0860214,Cartersville
1,37.6535416,-76.4497528,Weems
1,37.6479988,-76.3901291,White Stone
1,37.5851707,-79.0520172,Amherst
1,37.5365715,-76.8001785,West Point
1,37.5317612,-75.8228073,Exmore
1,37.3813515,-79.8037109,Blue Ridge
1,37.3785019,-77.585907,Chesterfield
1,37.3359604,-77.976059,Amelia
1,37.3306808,-80.8119278,Narrows
1,37.3098984,-78.3873978,Farmville
1,37.2809715,-82.1029282,Grundy
1,37.2761993,-79.8998718,Vinton
1,37.2633209,-78.680603,Pamplin City
1,37.2539482,-77.4111328,Colonial Heights
1,37.1832314,-79.6191711,Moneta
1,37.1339684,-81.1302872,Bland
1,37.1233711,-82.6009979,Pound
1,37.116169,-81.5186691,Tazewell
1,37.109169,-79.2891617,Altavista
1,37.1051102,-80.6867294,Dublin
1,37.0943489,-81.8030167,Richlands
1,37.0520287,-78.9466171,Brookneal
1,36.9950409,-79.8892822,Rocky Mount
1,36.9813385,-76.6339264,Smithfield
1,36.9431801,-82.4629211,Coeburn
1,36.9358711,-82.6235123,Norton
1,36.9315987,-80.3624115,Floyd
1,36.9006996,-82.3161011,St Paul
1,36.7988091,-78.4603119,Chase City
