value,lat,lon,desc
1,30.3943806,-88.8963776,"Biloxi, MS"
1,43.2501907,-83.7817001,"Birch Run, MI"
24,33.5206795,-86.8117599,"Birmingham, AL"
10,37.2262611,-80.4105835,"Blacksburg, VA"
2,37.0827103,-77.9954834,"Blackstone, VA"
1,37.1339684,-81.1302872,Bland
1,41.0599098,-73.9574432,"Blauvelt, NY"
1,42.5782318,-83.2810287,"Bloomfield Township, MI"
2,39.1665916,-86.5342407,"Bloomington, IN"
1,41.0045891,-76.453331,"Bloomsburg, PA"
2,36.1175003,-81.6595001,"Blowing Rock, NC"
1,37.3813515,-79.8037109,"Blue Ridge, VA"
1,37.2679787,-81.2226181,"Bluefield, WV"
1,39.1094208,-77.8303604,"Bluemont, VA"
3,26.3504906,-80.0889969,"Boca Raton, FL"
1,40.7657204,-73.1011124,"Bohemia, NY"
5,43.6069794,-116.1934128,"Boise, ID"
2,36.2203598,-81.6869583,"Boone, NC"
1,40.9019203,-74.4074173,"Boonton, NJ"
97,42.3586617,-71.0567398,"Boston, MA"
22,40.0157394,-105.2792435,"Boulder, CO"
1,38.9609718,-76.7404709,"Bowie, MD"
1,36.9946213,-86.4455795,"Bowling Green, KY"
2,38.0518303,-77.3477173,"Bowling Green, VA"
1,39.1854706,-77.3152313,"Boyds, MD"
1,45.6793213,-111.0331802,"Bozeman, MT"
4,27.4955006,-82.5780716,"Bradenton, FL"
1,42.770649,-71.0754318,"Bradford, MA"
1,27.9401703,-82.32547,"Brandon, FL"
1,42.8540611,-72.5588837,"Brattleboro, VT"
1,36.0325584,-86.7891617,"Brentwood, TN"
1,35.2342682,-82.7339096,"Brevard, NC"
1,41.7590103,-70.0662384,"Brewster, MA"
2,41.181881,-73.1912689,"Bridgeport, CT"
2,39.4294701,-75.2340622,"Bridgeton, NJ"
1,43.6384583,-71.7369003,"Bridgewater, NH"
1,40.5928802,-74.6250992,"Bridgewater, NJ"
1,43.1260986,-77.5748062,"Brighton, NY"
1,37.6868401,-122.4020767,"Brisbane, CA"
3,36.5919304,-82.2212677,"Bristol, TN"
1,36.5985413,-82.1807938,"Bristol, VA"
2,38.1931992,-79.4191971,"Broadway, VA"
1,40.8372917,-73.8860092,"Bronx, NY"
1,44.2659302,-68.5699615,"Brooklin, ME"
1,42.3334694,-71.1204681,"Brookline, MA"
14,40.6924515,-73.9903564,"Brooklyn, NY"
1,37.0520287,-78.9466171,"Brookneal, VA"
2,39.9208603,-105.0705795,"Broomfield, CO"
1,25.8995705,-97.4954987,"Brownsville, TX"
2,39.6589584,-79.6385193,"Bruceton Mills, WV"
3,43.9139519,-69.9677811,"Brunswick, ME"
2,40.0314102,-75.3154068,"Bryn Mawr, PA"
3,39.3312607,-77.4326782,"Buckeystown, MD"
1,40.3254318,-75.0585709,"Buckingham, PA"
1,42.1679916,-87.9619141,"Buffalo Grove, IL"
1,39.9333992,-78.6457977,"Buffalo Mills, PA"
1,34.1192589,-84.0059967,"Buford, GA"
1,39.3361511,-78.052803,"Bunker Hill, WV"
5,34.1816483,-118.3079376,"Burbank, CA"
4,38.7932281,-77.2722778,"Burke, VA"
2,37.5802689,-122.3506622,"Burlingame, CA"
2,42.5058212,-71.1937637,"Burlington, MA"
1,42.7243118,-75.1178284,"Burlington, NY"
5,36.096859,-79.437912,"Burlington, NC"
1,44.4759216,-73.2132263,"Burlington, VT"
1,39.1078987,-76.9376602,"Burtonsville, MD"
1,35.2627411,-75.5675812,"Buxton, NC"
1,38.9745789,-77.162117,"Cabin John, MD"
2,34.1522598,-118.6938019,"Calabasas, CA"
1,40.7169914,-74.8375092,"Califon, NJ"
13,42.3667908,-71.1060104,"Cambridge, MA"
1,39.9452515,-75.119133,"Camden, NJ"
1,37.2884789,-121.9448624,"Campbell, CA"
1,37.01157,-95.9319611,"Caney, KS"
2,34.2362518,-84.4873276,"Canton, GA"
1,32.6125908,-90.0347824,"Canton, MS"
1,44.5999413,-75.1698303,"Canton, NY"
1,40.7978096,-81.3715668,"Canton, OH"
3,37.2671318,-76.0170288,"Cape Charles, VA"
2,33.8249817,-111.9225311,"Carefree, AZ"
1,40.7483788,-73.6177521,"Carle Place, NY"
